Country,City,Circuit_Name,Circuit_Year,Location,Total_Races,Webpage,Circuit_Type
Great Britain,Aintree,Aintree Motor Racing Circuit,1958,Aintree,4,https://www.formula1.com/en/racing/2024/Aintree_Motor_Racing_Circuit.html,Permanent Circuit
Great Britain,Castle Donington,Donington Park,2007,Castle Donington,50,https://www.formula1.com/en/racing/2024/Donington_Park.html,Street Circuit
Hungary,Mogyoród,Hungaroring,2008,Mogyoród,3,https://www.formula1.com/en/racing/2024/Hungaroring.html,Street Circuit
India,Greater Noida,Buddh International Circuit,1963,Greater Noida,14,https://www.formula1.com/en/racing/2024/Buddh_International_Circuit.html,Street Circuit
Italy,Monza,Autodromo Nazionale Monza,1998,Monza,2,https://www.formula1.com/en/racing/2024/Autodromo_Nazionale_Monza.html,Permanent Circuit
Italy,Imola,Autodromo Enzo e Dino Ferrari,1970,Imola,28,https://www.formula1.com/en/racing/2024/Autodromo_Enzo_e_Dino_Ferrari.html,Permanent Circuit
Italy,Pescara,Pescara Circuit,2013,Pescara,31,https://www.formula1.com/en/racing/2024/Pescara_Circuit.html,Hybrid Circuit
Italy,Scarperia e San Piero,Mugello Circuit,2016,Scarperia e San Piero,19,https://www.formula1.com/en/racing/2024/Mugello_Circuit.html,Permanent Circuit
Japan,Suzuka,Suzuka International Racing Course,2021,Suzuka,29,https://www.formula1.com/en/racing/2024/Suzuka_International_Racing_Course.html,Permanent Circuit
Japan,Oyama,Fuji Speedway,2017,Oyama,4,https://www.formula1.com/en/racing/2024/Fuji_Speedway.html,Hybrid Circuit
Japan,Mimasaka,TI Circuit Aida,1955,Mimasaka,14,https://www.formula1.com/en/racing/2024/TI_Circuit_Aida.html,Hybrid Circuit
Mexico,Mexico City,Autódromo Hermanos Rodríguez,1981,Mexico City,12,https://www.formula1.com/en/racing/2024/Autódromo_Hermanos_Rodríguez.html,Street Circuit
Monaco,Monte Carlo,Circuit de Monaco,2008,Monte Carlo,25,https://www.formula1.com/en/racing/2024/Circuit_de_Monaco.html,Street Circuit
Netherlands,Zandvoort,Circuit Zandvoort,1953,Zandvoort,10,https://www.formula1.com/en/racing/2024/Circuit_Zandvoort.html,Permanent Circuit
Portugal,Estoril,Circuito do Estoril,1997,Estoril,14,https://www.formula1.com/en/racing/2024/Circuito_do_Estoril.html,Permanent Circuit
Portugal,Porto,Circuito da Boavista,1960,Porto,47,https://www.formula1.com/en/racing/2024/Circuito_da_Boavista.html,Street Circuit
Portugal,Lisbon,Circuito de Monsanto,1989,Lisbon,13,https://www.formula1.com/en/racing/2024/Circuito_de_Monsanto.html,Permanent Circuit
Portugal,Portimão,Algarve International Circuit,2002,Portimão,2,https://www.formula1.com/en/racing/2024/Algarve_International_Circuit.html,Hybrid Circuit
Qatar,Lusail,Lusail International Circuit,1995,Lusail,31,https://www.formula1.com/en/racing/2024/Lusail_International_Circuit.html,Street Circuit
Russia,Sochi,Sochi Autodrom,1964,Sochi,11,https://www.formula1.com/en/racing/2024/Sochi_Autodrom.html,Permanent Circuit
Saudi Arabia,Jeddah,Jeddah Corniche Circuit,1990,Jeddah,16,https://www.formula1.com/en/racing/2024/Jeddah_Corniche_Circuit.html,Hybrid Circuit
Singapore,Marina Bay,Marina Bay Street Circuit,1969,Marina Bay,43,https://www.formula1.com/en/racing/2024/Marina_Bay_Street_Circuit.html,Hybrid Circuit
South Africa,Midrand,Kyalami Grand Prix Circuit,1995,Midrand,40,https://www.formula1.com/en/racing/2024/Kyalami_Grand_Prix_Circuit.html,Permanent Circuit
South Africa,East London,Prince George Circuit,1950,East London,13,https://www.formula1.com/en/racing/2024/Prince_George_Circuit.html,Permanent Circuit
South Korea,Yeongam,Korea International Circuit,2017,Yeongam,21,https://www.formula1.com/en/racing/2024/Korea_International_Circuit.html,Hybrid Circuit
Spain,Montmeló,Circuit de Barcelona-Catalunya,2009,Montmeló,33,https://www.formula1.com/en/racing/2024/Circuit_de_Barcelona-Catalunya.html,Permanent Circuit
Spain,Jerez de la Frontera,Circuito de Jerez,2012,Jerez de la Frontera,32,https://www.formula1.com/en/racing/2024/Circuito_de_Jerez.html,Street Circuit
Spain,San Sebastián de los Reyes,Circuito del Jarama,1985,San Sebastián de los Reyes,3,https://www.formula1.com/en/racing/2024/Circuito_del_Jarama.html,Hybrid Circuit
Spain,Barcelona,Montjuïc Circuit,2013,Barcelona,10,https://www.formula1.com/en/racing/2024/Montjuïc_Circuit.html,Street Circuit
Spain,Barcelona,Pedralbes Circuit,1986,Barcelona,32,https://www.formula1.com/en/racing/2024/Pedralbes_Circuit.html,Street Circuit
Spain,Valencia,Valencia Street Circuit,1957,Valencia,48,https://www.formula1.com/en/racing/2024/Valencia_Street_Circuit.html,Street Circuit
Sweden,Anderstorp,Scandinavian Raceway,1951,Anderstorp,31,https://www.formula1.com/en/racing/2024/Scandinavian_Raceway.html,Permanent Circuit
Switzerland,Bern,Circuit Bremgarten,1994,Bern,43,https://www.formula1.com/en/racing/2024/Circuit_Bremgarten.html,Street Circuit
Turkey,Istanbul,Istanbul Park,2005,Istanbul,43,https://www.formula1.com/en/racing/2024/Istanbul_Park.html,Street Circuit
UAE,Abu Dhabi,Yas Marina Circuit,2017,Abu Dhabi,3,https://www.formula1.com/en/racing/2024/Yas_Marina_Circuit.html,Permanent Circuit
USA,Austin,Circuit of the Americas,2003,Austin,15,https://www.formula1.com/en/racing/2024/Circuit_of_the_Americas.html,Street Circuit
USA,Speedway,Indianapolis Motor Speedway,2023,Speedway,45,https://www.formula1.com/en/racing/2024/Indianapolis_Motor_Speedway.html,Hybrid Circuit
USA,Watkins Glen,Watkins Glen International,1997,Watkins Glen,7,https://www.formula1.com/en/racing/2024/Watkins_Glen_International.html,Street Circuit
USA,Long Beach,Long Beach Street Circuit,1988,Long Beach,1,https://www.formula1.com/en/racing/2024/Long_Beach_Street_Circuit.html,Permanent Circuit
USA,Detroit,Detroit Street Circuit,2008,Detroit,34,https://www.formula1.com/en/racing/2024/Detroit_Street_Circuit.html,Street Circuit
USA,Dallas,Dallas Fair Park,2004,Dallas,10,https://www.formula1.com/en/racing/2024/Dallas_Fair_Park.html,Permanent Circuit
USA,Phoenix,Phoenix Street Circuit,1983,Phoenix,7,https://www.formula1.com/en/racing/2024/Phoenix_Street_Circuit.html,Permanent Circuit
USA,Paradise,Caesars Palace Grand Prix Circuit,1993,Paradise,26,https://www.formula1.com/en/racing/2024/Caesars_Palace_Grand_Prix_Circuit.html,Street Circuit
USA,Miami Gardens,Miami International Autodrome,2023,Miami Gardens,29,https://www.formula1.com/en/racing/2024/Miami_International_Autodrome.html,Permanent Circuit
USA,Paradise,Las Vegas Strip Circuit,1993,Paradise,4,https://www.formula1.com/en/racing/2024/Las_Vegas_Strip_Circuit.html,Hybrid Circuit
