Date,Month_Num,Weekday,AI_Platform,AI_Model_Version,Active_Users,New_Users,Churned_Users,Daily_Churn_Rate,Retention_Rate,User_ID,Query_Type,Input_Text,Input_Text_Length,Response_Tokens,Topic_Category,User_Rating,User_Experience_Score,Session_Duration_sec,Device_Type,Language,Response_Accuracy,Response_Speed_sec,Response_Time_Category,Correction_Needed,User_Return_Frequency,Customer_Support_Interactions,Region
2023-02-09,10,Monday,DeepSeek,v4.0,9639,435,315,0.0243,0.9324,bd91f046-4356-4d55-86e7-45fa5544fade,Transactional,Sample user input text 10,195,767,Health,3,4.4,557,Mobile,Spanish,0.9577,4.4721,Slow,No,Weekly,0,South America
2023-02-26,5,Monday,ChatGPT,v2.0,4366,117,123,0.0539,0.6295,bb026055-2266-4e65-a8a5-d750660617bb,Informational,Sample user input text 11,206,576,Health,5,1.55,667,Desktop,Spanish,0.9186,3.6941,Medium,No,Daily,0,Asia
2022-08-24,12,Monday,DeepSeek,v4.0,3585,188,336,0.0483,0.9366,e1a33130-ab51-4199-870b-a0aa5f12424c,Transactional,Sample user input text 12,159,161,Education,3,3.79,791,Mobile,German,0.8498,4.613,Fast,Yes,Weekly,5,North America
2021-01-18,11,Monday,ChatGPT,v1.0,7850,605,229,0.0928,0.9172,8f7f0a5c-9550-4ed5-8de0-2f1318cd07ff,Informational,Sample user input text 13,286,480,Education,2,1.11,1211,Tablet,French,0.7125,1.3921,Medium,Yes,Daily,3,Asia
2023-03-11,8,Thursday,DeepSeek,v2.0,4167,459,355,0.0918,0.5336,07410b76-a364-4720-8583-3b1fcae93ec3,Informational,Sample user input text 14,304,365,Health,1,3.39,1565,Tablet,Spanish,0.8946,3.644,Medium,No,Daily,5,Asia
2020-11-22,9,Sunday,Grok AI,v4.0,7741,955,216,0.0645,0.6334,40b6e6d8-3c5b-46ca-8f14-16f1f574362e,Transactional,Sample user input text 15,44,201,Finance,4,3.88,785,Desktop,German,0.9338,1.1921,Medium,Yes,Weekly,0,South America
2022-11-25,8,Saturday,DeepSeek,v1.0,9116,724,402,0.0156,0.6398,d7f4b6c3-e1f8-4b54-9b91-855e983f83a2,Navigational,Sample user input text 16,457,190,Technology,3,2.43,1266,Desktop,French,0.9275,4.9627,Fast,No,Monthly,0,North America
2023-05-27,10,Tuesday,Grok AI,v4.0,5256,212,364,0.0288,0.5484,cb7b3b53-124b-4d88-bb80-761deb6d95a7,Informational,Sample user input text 17,47,704,Health,3,4.59,84,Desktop,English,0.7588,1.7999,Slow,Yes,Daily,0,South America
2022-01-25,2,Tuesday,DeepSeek,v2.0,1233,441,497,0.0819,0.7978,fb4a2b3c-daf1-4605-a125-56b26bebefdd,Navigational,Sample user input text 18,374,50,Education,4,1.96,1049,Desktop,French,0.7602,3.7163,Fast,No,Monthly,0,South America
2021-12-29,4,Saturday,Grok AI,v1.0,9248,856,374,0.0685,0.6013,9b65382b-d326-45c6-95a4-1b359cd35936,Navigational,Sample user input text 19,300,279,Technology,2,4.46,1166,Mobile,Chinese,0.9418,0.9179,Medium,Yes,Monthly,3,North America
2022-08-05,10,Thursday,Grok AI,v3.0,4742,746,229,0.0658,0.6191,dc3ac0cb-a80f-4204-938d-9b49d72ed219,Navigational,Sample user input text 20,212,430,Education,1,2.4,585,Desktop,Spanish,0.8502,0.486,Fast,No,Monthly,4,South America
2022-09-11,9,Tuesday,Grok AI,v2.0,9378,207,404,0.0821,0.988,73deb6e7-2011-4a9b-952a-57aa679fd667,Navigational,Sample user input text 21,461,518,Technology,1,3.87,656,Desktop,Spanish,0.987,3.3973,Medium,Yes,Daily,0,Asia
2020-02-13,1,Monday,DeepSeek,v1.0,6309,763,388,0.0912,0.684,8f690f59-bc29-4dff-8e1b-90677a1ca844,Navigational,Sample user input text 22,456,743,Technology,3,2.38,1792,Desktop,German,0.7685,4.4677,Medium,No,Monthly,3,South America
2023-03-23,8,Tuesday,Grok AI,v3.0,7798,832,192,0.099,0.6245,affcdb24-fb21-41a3-81b9-564c7b6500fa,Informational,Sample user input text 23,200,471,Education,1,4.92,188,Mobile,German,0.7172,2.6544,Fast,No,Monthly,3,Asia
2021-11-28,6,Wednesday,DeepSeek,v1.0,1629,393,438,0.0875,0.5581,45beb6b8-ab87-45ca-98ee-2c4189cf8bc1,Transactional,Sample user input text 24,367,40,Education,3,3.2,87,Tablet,German,0.9191,4.0659,Slow,Yes,Monthly,5,North America
2023-06-20,8,Sunday,DeepSeek,v1.0,5638,869,385,0.023,0.7064,787e60a9-e420-4007-a245-d3dea814e1ac,Informational,Sample user input text 25,104,959,Education,2,2.38,254,Mobile,English,0.7333,1.8591,Slow,Yes,Weekly,5,Asia
2022-09-11,5,Wednesday,DeepSeek,v2.0,5625,321,280,0.0204,0.7004,d87ee79a-4ebc-4779-af2a-d98edbd313f5,Informational,Sample user input text 26,353,581,Health,3,4.51,1022,Mobile,Chinese,0.8977,3.294,Medium,Yes,Daily,0,South America
2023-06-03,8,Friday,Grok AI,v1.0,4088,399,95,0.0601,0.7689,69a66c8c-2190-4fe8-8f99-a0711b78ca3d,Transactional,Sample user input text 27,439,714,Education,2,3.75,39,Tablet,Spanish,0.7403,2.1572,Slow,No,Weekly,2,North America
2023-03-13,8,Thursday,Grok AI,v1.0,5218,931,395,0.0772,0.8962,3fcdf1a8-86c4-45d0-81b3-685291d0163e,Informational,Sample user input text 28,391,484,Health,5,1.81,1517,Tablet,English,0.9041,1.6313,Medium,No,Daily,3,Europe
2022-08-11,2,Saturday,ChatGPT,v3.0,1399,556,88,0.0865,0.8406,1ddf8016-a681-4427-91b4-950c15a13cc9,Navigational,Sample user input text 29,499,595,Education,5,3.39,1787,Desktop,German,0.8647,3.2174,Medium,Yes,Weekly,5,Asia
2023-02-04,4,Wednesday,DeepSeek,v4.0,1632,501,323,0.0303,0.8703,59abd924-ee3f-4695-bfcd-dc8c51e17cda,Informational,Sample user input text 30,281,914,Finance,3,1.82,327,Tablet,Spanish,0.7043,2.2692,Medium,Yes,Monthly,3,North America
2022-10-10,2,Wednesday,Grok AI,v4.0,6336,289,347,0.0139,0.7281,827c20d8-9e76-4b6f-a48e-1edd0467a6f5,Navigational,Sample user input text 31,285,738,Health,5,1.72,271,Tablet,French,0.7665,2.2136,Fast,No,Monthly,4,South America
2022-08-05,2,Thursday,ChatGPT,v4.0,3312,286,81,0.0948,0.7743,e8284638-7c72-4e68-bd0b-9e7b263ded68,Transactional,Sample user input text 32,134,162,Health,1,3.73,795,Desktop,Spanish,0.89,3.9006,Slow,No,Daily,5,Europe
2021-06-18,10,Thursday,ChatGPT,v4.0,6484,401,309,0.0908,0.6469,789a38d1-f29d-4adf-b352-f62a13433664,Navigational,Sample user input text 33,52,269,Finance,4,1.56,1447,Tablet,Chinese,0.7188,1.8848,Medium,Yes,Monthly,3,Europe
2023-11-01,1,Tuesday,Grok AI,v4.0,6778,358,84,0.0128,0.591,b771c105-2a81-4b03-a6de-87784b25d35d,Informational,Sample user input text 34,221,124,Health,3,4.72,1537,Desktop,English,0.9985,1.0209,Slow,Yes,Weekly,1,North America
2021-06-07,4,Tuesday,Grok AI,v1.0,4590,402,250,0.035,0.6506,f2b262fd-b7e1-4eeb-acc6-a8bd6e57f9d9,Transactional,Sample user input text 35,176,647,Technology,2,2.64,1174,Mobile,French,0.8867,1.641,Fast,Yes,Weekly,2,Europe
2023-11-14,1,Thursday,DeepSeek,v4.0,9580,446,492,0.0938,0.7005,11a119c2-a84a-4e99-89b1-c12a0ab2ca62,Navigational,Sample user input text 36,96,628,Finance,5,4.78,1415,Mobile,Spanish,0.9507,2.8371,Slow,No,Weekly,0,Asia
2021-08-10,2,Monday,DeepSeek,v1.0,9494,550,376,0.0913,0.7075,0b55dc84-3228-4645-a1d3-2fb150c44a9d,Transactional,Sample user input text 37,99,638,Finance,1,3.79,89,Mobile,Spanish,0.7172,4.8327,Slow,No,Weekly,0,North America
2023-08-27,10,Thursday,Grok AI,v1.0,5649,217,473,0.024,0.7889,37a50a01-d864-47a2-9fa5-84681decfbe1,Navigational,Sample user input text 38,497,898,Health,2,2.16,491,Tablet,English,0.7803,4.3019,Medium,No,Daily,2,South America
2020-05-08,11,Monday,DeepSeek,v4.0,8159,794,185,0.0273,0.9697,2424562f-fec5-4a65-bb77-52487d83b520,Navigational,Sample user input text 39,310,150,Finance,4,1.88,150,Desktop,Chinese,0.7372,2.0107,Slow,Yes,Daily,3,Asia
2021-12-17,11,Monday,Grok AI,v4.0,8279,935,393,0.0634,0.6652,d5f006e2-9297-441a-af6d-793dd043c7ad,Navigational,Sample user input text 40,129,864,Finance,3,2.68,593,Desktop,German,0.7971,2.3004,Fast,No,Weekly,4,South America
2021-07-27,7,Wednesday,DeepSeek,v1.0,8674,829,446,0.0966,0.62,1d889a08-15f9-4b40-b62c-9824ebef0773,Transactional,Sample user input text 41,43,304,Technology,1,2.83,1015,Desktop,Spanish,0.7408,0.1478,Slow,No,Weekly,1,South America
2023-07-08,4,Tuesday,DeepSeek,v4.0,6095,135,401,0.0838,0.5193,51322ccb-3046-4fe5-9912-72717d6c0026,Navigational,Sample user input text 42,351,448,Health,4,3.51,39,Tablet,French,0.8683,2.1057,Medium,No,Monthly,5,Europe
2023-08-29,5,Thursday,ChatGPT,v2.0,6974,960,170,0.076,0.8259,41049568-0ed5-45a8-9224-f57bcf0f8824,Transactional,Sample user input text 43,458,216,Technology,1,4.35,837,Tablet,French,0.7101,4.2521,Medium,Yes,Daily,2,South America
2020-11-09,4,Saturday,Grok AI,v2.0,2001,973,441,0.0652,0.7997,f181493e-bd7b-4b53-91a1-b4a04a643b04,Informational,Sample user input text 44,414,730,Finance,4,3.18,1071,Mobile,German,0.7142,4.617,Slow,Yes,Monthly,3,South America
2023-06-20,10,Tuesday,DeepSeek,v1.0,5982,186,229,0.0503,0.9437,a8c77345-417b-4b49-ad53-a970e0b99d9e,Informational,Sample user input text 45,474,542,Technology,5,2.08,1591,Mobile,French,0.7985,0.5373,Fast,No,Daily,2,Europe
2021-05-07,4,Friday,DeepSeek,v4.0,2951,415,115,0.0344,0.9753,5428ba6d-9ce1-41d7-9f72-169ea6888900,Transactional,Sample user input text 46,321,396,Health,3,3.68,1131,Tablet,English,0.96,4.3532,Medium,Yes,Weekly,5,North America
2022-01-18,6,Monday,ChatGPT,v4.0,9169,337,171,0.0319,0.5303,665f489f-9be9-49a3-9424-4a06c0e09d0c,Transactional,Sample user input text 47,77,126,Technology,3,2.35,1595,Mobile,Chinese,0.7492,3.8046,Medium,No,Daily,5,Europe
2022-07-17,8,Thursday,Grok AI,v4.0,2367,991,311,0.0133,0.7516,bfa60a9b-d9b1-4e8a-b687-0245ccb1c685,Transactional,Sample user input text 48,473,482,Education,1,3.65,1664,Desktop,English,0.9855,0.6472,Slow,No,Weekly,2,Asia
2023-08-13,10,Saturday,Grok AI,v1.0,8435,202,155,0.0168,0.9662,6d21909b-01f1-4753-8732-03eac94a06d4,Informational,Sample user input text 49,431,896,Education,5,1.62,1680,Tablet,Chinese,0.7529,4.7411,Slow,No,Weekly,5,Europe
2022-11-23,9,Saturday,DeepSeek,v3.0,9440,990,428,0.0319,0.7801,d7c515f8-5c70-4004-aea3-2c146e154646,Navigational,Sample user input text 50,459,96,Education,1,4.09,1568,Desktop,Chinese,0.9403,0.7073,Fast,No,Weekly,2,Europe
2023-08-23,11,Friday,Grok AI,v1.0,1098,113,304,0.0248,0.7144,640940ba-5918-459c-8191-b81613141adf,Transactional,Sample user input text 51,70,875,Education,5,4.21,1135,Desktop,German,0.8234,0.9872,Slow,Yes,Daily,1,North America
2021-06-28,3,Wednesday,Grok AI,v4.0,1845,473,146,0.0396,0.9063,ca25be24-91c2-4802-9966-e3ef0f2ded44,Informational,Sample user input text 52,456,549,Health,4,2.47,1368,Tablet,German,0.8305,4.5979,Fast,Yes,Daily,3,South America
2021-06-08,6,Monday,Grok AI,v4.0,6472,706,334,0.0172,0.5902,77552d2c-9a5f-4ddc-a2d7-80f1e6b433dc,Transactional,Sample user input text 53,173,735,Finance,3,2.58,1029,Mobile,German,0.7551,0.5541,Medium,Yes,Weekly,0,South America
2023-07-30,1,Saturday,Grok AI,v2.0,3956,855,126,0.0629,0.5999,a0eb3e33-7111-4ada-ac79-42d561b90345,Transactional,Sample user input text 54,229,144,Technology,5,4.09,1457,Mobile,Spanish,0.7838,3.2326,Fast,Yes,Weekly,2,Europe
2023-04-24,3,Sunday,ChatGPT,v3.0,3744,241,343,0.0492,0.695,b2ca8ec4-8eb5-418f-a667-8fadb65fcf8c,Informational,Sample user input text 55,270,495,Education,3,4.14,1169,Mobile,Spanish,0.931,3.2104,Medium,No,Monthly,0,North America
2020-09-09,8,Sunday,Grok AI,v1.0,3331,436,362,0.0276,0.5806,a0a4716f-a194-4331-a055-d366aab0b276,Informational,Sample user input text 56,311,279,Technology,1,1.99,72,Desktop,English,0.7534,3.3307,Fast,No,Monthly,5,South America
2023-11-28,10,Friday,DeepSeek,v3.0,3871,259,292,0.0572,0.7173,c6842a25-f75f-492a-aad9-00da9c45c9ac,Informational,Sample user input text 57,245,728,Finance,2,3.8,899,Tablet,German,0.8611,4.1589,Slow,No,Daily,2,North America
2020-09-23,11,Sunday,DeepSeek,v3.0,9418,889,215,0.0389,0.8858,d8268d09-a96a-4641-bee0-941ddf2c6c38,Informational,Sample user input text 58,112,282,Technology,1,2.86,898,Tablet,English,0.7857,4.975,Slow,Yes,Monthly,2,South America
2020-04-20,8,Sunday,ChatGPT,v3.0,9973,253,368,0.011,0.7256,b5f93f95-ae2d-41c3-90d0-8a6422e377b0,Informational,Sample user input text 59,355,565,Health,2,1.87,538,Tablet,English,0.7693,2.8283,Medium,Yes,Monthly,3,Asia
2020-08-18,6,Sunday,DeepSeek,v2.0,1338,297,219,0.0736,0.5965,3bbe6d29-f0b8-4ac7-b971-e40b363b6120,Navigational,Sample user input text 60,228,76,Health,5,3.2,686,Tablet,English,0.8947,0.5138,Slow,Yes,Monthly,2,North America
2020-05-07,11,Saturday,Grok AI,v2.0,5500,257,197,0.0308,0.9562,a6296bba-4a8e-4e2a-94f7-a4ace2163589,Transactional,Sample user input text 61,326,653,Technology,1,1.21,1727,Tablet,French,0.996,0.1203,Fast,Yes,Monthly,4,North America
2022-03-20,4,Wednesday,ChatGPT,v1.0,3642,344,98,0.0117,0.5407,f96ecb83-691a-44d8-b6f8-761eec111d5f,Transactional,Sample user input text 62,464,78,Education,5,3.49,586,Desktop,English,0.734,1.6627,Medium,Yes,Daily,2,Europe
2021-09-21,11,Monday,Grok AI,v1.0,9686,272,293,0.0584,0.9643,5d96bdd9-b8ad-4b04-bea1-225d48c326ef,Navigational,Sample user input text 63,181,727,Education,5,1.4,1496,Tablet,Spanish,0.7803,3.6861,Medium,Yes,Weekly,4,North America
2023-10-17,5,Wednesday,ChatGPT,v4.0,4402,895,161,0.0824,0.5281,c6c52573-4db5-488c-8871-a21cec0807a7,Transactional,Sample user input text 64,48,390,Finance,3,1.28,1217,Tablet,French,0.7828,3.8951,Slow,Yes,Weekly,0,Europe
2023-04-27,5,Tuesday,ChatGPT,v1.0,8954,813,172,0.0377,0.7786,022fb4d0-7979-4057-85d6-2263e9ec7702,Navigational,Sample user input text 65,213,946,Education,3,2.05,218,Tablet,German,0.856,3.3542,Slow,No,Monthly,0,Asia
2022-04-23,12,Saturday,DeepSeek,v4.0,8685,388,239,0.045,0.9828,c1cad033-6b04-435e-988d-a8b0622922fd,Transactional,Sample user input text 66,355,380,Health,4,3.13,798,Desktop,French,0.771,3.8215,Fast,Yes,Daily,0,South America
2022-03-20,7,Saturday,DeepSeek,v4.0,2993,961,157,0.0454,0.7216,6a6ebaca-a48e-49fa-bf55-ddbf73da5674,Transactional,Sample user input text 67,32,403,Health,3,2.49,1754,Mobile,German,0.9942,1.869,Medium,Yes,Daily,2,Asia
2023-08-09,7,Monday,DeepSeek,v3.0,3072,228,406,0.0575,0.5193,cac9cf77-88f7-43c3-a540-34d500636a3a,Transactional,Sample user input text 68,156,372,Education,2,4.78,891,Tablet,French,0.8612,1.2326,Fast,Yes,Weekly,0,South America
2020-10-12,9,Thursday,ChatGPT,v4.0,9498,764,305,0.078,0.914,67de587e-ee3a-4fb0-880f-9830c6d37926,Transactional,Sample user input text 69,331,307,Education,3,3.87,533,Desktop,Spanish,0.8161,3.7558,Slow,No,Weekly,2,Europe
2023-12-14,10,Tuesday,ChatGPT,v1.0,5707,273,479,0.0699,0.9123,78b3e3d1-2c30-47f9-bfef-9f8250313dbf,Informational,Sample user input text 70,493,432,Education,3,2.96,1544,Mobile,French,0.7598,4.0999,Fast,No,Monthly,0,South America
2023-02-24,5,Sunday,DeepSeek,v3.0,5919,136,464,0.0952,0.862,8c09a95f-67fa-4b94-8f7d-ef2d01835faf,Transactional,Sample user input text 71,244,911,Education,5,2.13,980,Mobile,Chinese,0.7333,3.6095,Medium,No,Daily,3,North America
2020-01-18,4,Tuesday,ChatGPT,v2.0,7716,590,237,0.0608,0.8995,cda6bd45-cc3e-4730-b081-b4647ef5527c,Navigational,Sample user input text 72,383,827,Technology,2,1.79,114,Mobile,English,0.8096,4.252,Fast,No,Monthly,3,Asia
2023-05-28,3,Saturday,Grok AI,v1.0,1747,477,296,0.0365,0.8118,ee998a72-19de-4ad4-a72d-72f2b4c0d46b,Navigational,Sample user input text 73,469,178,Education,5,1.04,1482,Mobile,German,0.7744,4.2571,Slow,Yes,Daily,0,North America
2022-02-07,1,Thursday,Grok AI,v4.0,6759,223,481,0.034,0.6835,e674a922-6b92-4c56-acdc-421fc312ad37,Navigational,Sample user input text 74,397,344,Finance,4,2.79,924,Desktop,English,0.8771,3.6972,Medium,Yes,Weekly,5,Asia
2023-09-10,4,Monday,ChatGPT,v2.0,9962,843,359,0.0901,0.5545,1a9e6577-14e0-4faf-a336-efb5c05ad94f,Navigational,Sample user input text 75,497,152,Education,1,3.42,265,Tablet,Chinese,0.7535,3.8538,Fast,No,Daily,2,Europe
2023-08-22,5,Saturday,Grok AI,v1.0,8245,504,360,0.0728,0.5955,2121e2e8-5dd2-49b0-a01b-37a13d2dea28,Navigational,Sample user input text 76,162,855,Education,1,1.67,891,Desktop,Spanish,0.9848,3.6281,Slow,Yes,Monthly,5,North America
2020-03-01,10,Thursday,DeepSeek,v4.0,5741,601,412,0.0382,0.6501,0834d571-14d2-45bf-83c2-992ebcbdbeae,Navigational,Sample user input text 77,434,817,Finance,2,3.34,303,Desktop,German,0.9031,4.0842,Medium,No,Daily,2,Europe
2023-04-24,2,Thursday,DeepSeek,v1.0,4228,718,173,0.0837,0.9134,edc88ffe-b871-42da-b32a-c1ed3010f038,Transactional,Sample user input text 78,436,68,Education,4,4.04,765,Tablet,Spanish,0.8135,2.0465,Fast,Yes,Daily,0,Europe
2022-03-14,2,Wednesday,Grok AI,v3.0,7847,289,389,0.0152,0.8759,31d751e6-8609-4a40-81d5-de7e99b13872,Transactional,Sample user input text 79,155,860,Technology,1,3.86,1446,Desktop,German,0.7985,4.6149,Fast,Yes,Weekly,3,North America
2023-10-03,4,Saturday,DeepSeek,v3.0,5163,427,305,0.0556,0.9359,246d84b7-239a-4884-8ce5-2d49d8fc56e3,Navigational,Sample user input text 80,212,793,Finance,5,3.27,1233,Desktop,English,0.7751,2.0962,Medium,Yes,Monthly,3,South America
2022-12-21,4,Tuesday,Grok AI,v1.0,3519,465,208,0.0445,0.5541,122703bc-63ab-42c9-ac10-2252649c0e7c,Transactional,Sample user input text 81,171,797,Health,5,4.07,1708,Tablet,English,0.9661,3.3279,Medium,Yes,Daily,1,Asia
2020-10-15,7,Thursday,DeepSeek,v1.0,8266,890,71,0.032,0.6079,c31e99f6-c04b-451b-ac73-c410410a8dae,Navigational,Sample user input text 82,449,32,Health,1,1.83,1307,Tablet,Spanish,0.7422,3.6192,Fast,No,Daily,1,Europe
2023-03-08,10,Sunday,ChatGPT,v4.0,8733,294,454,0.0899,0.7835,b2cb6b96-8ea7-490b-921a-4e42b8e7f92a,Informational,Sample user input text 83,266,710,Technology,4,4.66,551,Mobile,Spanish,0.7745,4.7892,Medium,Yes,Weekly,1,Asia
2022-08-21,3,Tuesday,Grok AI,v4.0,7167,771,275,0.0899,0.8947,855e8f7c-683c-4733-935a-4fb90692ca39,Informational,Sample user input text 84,56,534,Education,4,4.96,403,Tablet,English,0.7389,1.0452,Medium,No,Weekly,1,Europe
2020-10-26,1,Friday,Grok AI,v3.0,7744,873,427,0.0231,0.943,d2010562-3fac-4ec6-9cb2-70e525c63963,Navigational,Sample user input text 85,353,598,Education,1,1.41,1088,Desktop,English,0.9109,2.444,Medium,Yes,Daily,3,South America
2022-11-24,4,Thursday,DeepSeek,v4.0,5507,282,477,0.0634,0.5217,2bcd7f47-a11d-46c0-814a-605db0f40a6a,Informational,Sample user input text 86,306,230,Technology,1,2.22,770,Desktop,German,0.8604,4.2214,Slow,No,Weekly,3,North America
2021-01-13,8,Thursday,ChatGPT,v4.0,5128,699,348,0.0833,0.8075,e11590bd-3535-4419-bcc0-5ff0e2680f9a,Transactional,Sample user input text 87,106,466,Technology,1,4.33,31,Desktop,French,0.9413,1.4511,Slow,Yes,Daily,1,North America
2022-08-28,1,Sunday,Grok AI,v2.0,9870,154,152,0.0606,0.6385,76b576b5-3aa5-4133-89ed-966532b4f7c7,Navigational,Sample user input text 88,306,527,Health,1,4.46,1727,Desktop,Chinese,0.7517,0.9359,Fast,No,Monthly,0,Asia
2021-06-29,7,Sunday,Grok AI,v3.0,6435,459,89,0.0356,0.5014,b687f56c-ffbe-4e70-958d-57b10809edea,Transactional,Sample user input text 89,451,234,Technology,2,1.44,126,Mobile,English,0.9752,2.7861,Slow,Yes,Weekly,3,Asia
2023-07-31,11,Wednesday,ChatGPT,v4.0,1848,845,446,0.0711,0.5161,06626def-56d1-4054-9709-4cabf06fe8b1,Informational,Sample user input text 90,253,946,Technology,3,4.33,665,Tablet,English,0.9202,4.1404,Medium,Yes,Daily,3,South America
2020-05-20,12,Friday,Grok AI,v4.0,8845,973,428,0.0486,0.9021,3c22f856-dcb8-4093-ae5a-d09506168596,Navigational,Sample user input text 91,233,321,Finance,3,3.19,1308,Mobile,Chinese,0.8144,3.3543,Medium,Yes,Monthly,5,Europe
2022-01-15,6,Wednesday,Grok AI,v4.0,4704,567,206,0.0767,0.7638,857b75bc-1877-4130-9b11-594e6dddfbad,Transactional,Sample user input text 92,332,986,Finance,5,3.17,963,Mobile,Spanish,0.8491,0.6247,Medium,Yes,Monthly,1,Asia
2021-08-22,9,Friday,Grok AI,v1.0,7565,841,498,0.0409,0.7439,2e633cf7-f070-468f-94bb-338e8650aa2d,Transactional,Sample user input text 93,134,660,Finance,3,3.32,1378,Mobile,French,0.7944,0.6951,Slow,Yes,Weekly,2,South America
2021-08-02,2,Monday,DeepSeek,v3.0,8726,366,307,0.0125,0.9069,da70b57d-3e7a-4a79-808c-5411ef54912a,Informational,Sample user input text 94,113,46,Education,4,4.59,1714,Tablet,English,0.7631,2.8058,Fast,Yes,Daily,2,Asia
2021-03-04,4,Wednesday,ChatGPT,v3.0,7654,688,164,0.0246,0.5064,adffd7c7-7cb3-480e-90a8-52b8d1b773f9,Informational,Sample user input text 95,49,580,Technology,4,4.33,1207,Mobile,English,0.9753,2.6374,Medium,No,Daily,4,Europe
2022-03-23,2,Monday,Grok AI,v2.0,8148,830,246,0.0315,0.5621,20aae00d-72b5-4182-a840-04bac4d6f94e,Transactional,Sample user input text 96,240,805,Technology,1,3.52,1091,Desktop,Spanish,0.882,1.9666,Slow,No,Monthly,4,Asia
2021-07-17,12,Sunday,DeepSeek,v2.0,3136,390,116,0.0104,0.7488,39a34148-4043-4f71-a13b-1fe840dbaba6,Transactional,Sample user input text 97,189,745,Education,1,1.31,1676,Desktop,Spanish,0.9204,4.9572,Slow,Yes,Daily,0,South America
2021-12-08,3,Tuesday,DeepSeek,v3.0,4131,573,304,0.0689,0.5664,49518609-df60-46cb-97c1-5013d5807deb,Informational,Sample user input text 98,420,205,Health,2,2.13,1558,Tablet,Chinese,0.9349,0.861,Fast,Yes,Weekly,3,South America
2020-09-24,1,Thursday,Grok AI,v3.0,5789,316,177,0.0355,0.6896,5ff3c8cb-46f7-44a2-9bc4-d57bf0ecd81c,Informational,Sample user input text 99,153,317,Finance,3,3.6,1739,Desktop,German,0.9699,1.981,Fast,Yes,Monthly,3,North America
2022-03-15,6,Saturday,ChatGPT,v1.0,6171,547,139,0.0815,0.892,2771ef88-314e-4f73-9e30-6eff7f566151,Informational,Sample user input text 100,218,46,Finance,4,2.16,1590,Tablet,Spanish,0.7894,3.2411,Slow,Yes,Monthly,4,Europe
